step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
151,1.51,1,0.0,0.0,0.0,0.0,0.621814935292291,64.01065293353841,0.0,64.6324678688307,0,0,0,0,6,655,0,1
152,1.52,1,0.0,0.0,0.0,0.0,0.6462762617174841,66.3870956540474,0.0,67.03337191576489,0,0,0,0,7,680,0,1
153,1.53,1,0.0,0.0,0.0,0.0,0.7499434747148366,76.85363954943479,0.0,77.60358302414963,0,0,0,0,8,787,0,1
154,1.54,1,0.0,0.0,0.0,0.0,0.843511131889658,86.17734715548191,0.0,87.02085828737157,0,0,0,0,9,882,0,1
155,1.55,2,0.0,0.0,0.0,0.0,5.327610833049371,94.79146449773093,0.0,100.1190753307803,0,0,0,0,55,971,0,1
156,1.56,2,0.0,0.0,0.0,0.0,7.632435080255336,100.60058866135196,0.0,108.2330237416073,0,0,0,0,78,1024,0,1
157,1.57,2,0.0,0.0,0.0,0.0,7.436936777582603,106.28255576049212,0.0,113.71949253807472,0,0,0,0,76,1024,0,1
158,1.58,3,740.6164106588334,155.91043420828512,0.0,0.0,6.789842989725285,109.12867705517013,896.5268448671185,115.91852004489542,1024,1024,0,0,70,1024,1,1
159,1.59,4,762.4884812166354,164.7831228254054,0.0,0.0,5.069793392697094,102.89813929742505,927.2716040420407,107.96793269012214,1024,1024,0,0,52,1024,1,1
160,1.6,4,747.3064271631417,163.83639867969626,0.0,0.0,2.4250078668259922,87.25576359452839,911.142825842838,89.68077146135438,1024,1024,0,0,25,893,1,1
161,1.61,4,698.3915724556261,153.72140169191516,0.0,0.0,0.7740135666132691,73.07846400481537,852.1129741475413,73.85247757142864,1024,1024,0,0,8,748,1,1
162,1.62,4,614.7151853948054,134.58015362417552,0.0,0.0,0.7551222730388258,69.26351073489916,749.2953390189809,70.01863300793798,1024,1024,0,0,8,709,1,1
163,1.6300000000000001,4,526.4012700547364,114.33238216695123,0.0,0.0,0.7337328935666078,64.91751668824384,640.7336522216876,65.65124958181045,1024,1024,0,0,8,665,1,1
164,1.6400000000000001,2,448.4172831306626,96.7498670404839,0.0,0.0,0.4532281339957862,72.75847359417158,545.1671501711465,73.21170172816736,1024,991,0,0,5,745,1,1
165,1.6500000000000001,3,471.9398722037725,129.38255005040182,0.0,0.0,0.6017577105667036,89.75182568180776,601.3224222541743,90.35358339237446,1024,1024,0,0,6,919,1,1
166,1.6600000000000001,2,411.5456396519891,112.530470530676,0.0,0.0,0.8323324489780031,112.73519399658369,524.0761101826652,113.5675264455617,1024,1024,0,0,9,1024,1,1
167,1.67,3,378.71773962796436,103.3283571732485,0.0,0.0,1.2195285100054378,144.10786452670484,482.04609680121285,145.32739303671028,1024,1024,0,0,12,1024,1,1
168,1.68,4,451.4730745513757,160.00037839592946,90.35427364614088,0.0,1.1359749070368037,173.1621894621409,701.8277265934461,174.2981643691777,1024,1024,925,0,12,1024,1,1
169,1.69,5,455.507520009983,141.7685470886015,108.26508479324153,0.0,1.7482577043059628,218.1238738840902,705.541151891826,219.87213158839614,1024,1024,1024,0,18,1024,1,1
